id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address
ZyWlSNSx08Ybf50izJtkng,stomping-ground-alexandria,Stomping Ground,https://s3-media3.fl.yelpcdn.com/bphoto/KkV7jCireo9zie6K_90cFA/o.jpg,FALSE,https://www.yelp.com/biz/stomping-ground-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,463,"coffee, breakfast_brunch, beerbar, Coffee & Tea, Breakfast & Brunch, Beer Bar",4,,$$,+17035676616,(703) 567-6616,4884.7792063936895,38.826591,-77.058483,"2309 Mount Vernon Ave, Alexandria, VA 22301"
sPho0P0rLrtKq8LRxaJZ9w,volas-dockside-grill-and-hi-tide-lounge-alexandria,Volas Dockside Grill & Hi-Tide Lounge,https://s3-media4.fl.yelpcdn.com/bphoto/5jiUwRTuxrFdNYz6iQl_ZQ/o.jpg,FALSE,https://www.yelp.com/biz/volas-dockside-grill-and-hi-tide-lounge-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,753,"seafood, bars, tradamerican, Seafood, Bars, American (Traditional)",4,"pickup, delivery",$$,+17039358890,(703) 935-8890,5261.540418670587,38.80442,-77.04009,"101 N Union St, Alexandria, VA 22314"
e3xFagywbOWmKVGP2I9RNA,the-peoples-drug-alexandria,The People's Drug,https://s3-media3.fl.yelpcdn.com/bphoto/T3bO6081jAT76_-n-RRcFg/o.jpg,FALSE,https://www.yelp.com/biz/the-peoples-drug-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,126,"tradamerican, cocktailbars, American (Traditional), Cocktail Bars",4,pickup,$$,+15712578851,(571) 257-8851,4525.4951960705575,38.80561,-77.04901,"103 N Alfred St, Alexandria, VA 22314"
Y5KdONDo5sWkRv8aVK4H5Q,del-ray-cafe-alexandria,Del Ray Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/HCF-4c3vP_oh9ry553OEtA/o.jpg,FALSE,https://www.yelp.com/biz/del-ray-cafe-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,587,"french, seafood, breakfast_brunch, French, Seafood, Breakfast & Brunch",4,"pickup, delivery",$$,+17037179151,(703) 717-9151,4733.83919485331,38.8237899,-77.0576729,"205 E Howell Ave, Alexandria, VA 22301"
fTy0VGrrSIgZIrImKeifqw,the-majestic-alexandria-2,The Majestic,https://s3-media2.fl.yelpcdn.com/bphoto/mre0viNFwn-OjmU-_ZAoYA/o.jpg,FALSE,https://www.yelp.com/biz/the-majestic-alexandria-2?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,366,"newamerican, bars, American (New), Bars",4,"pickup, delivery",$$,+17038379117,(703) 837-9117,4479.557295407526,38.80549,-77.04958,"911 King Street Old Town, Alexandria, VA 22314"
xQpaqJAISlx6pTPO0K7OGg,hen-quarter-alexandria,Hen Quarter,https://s3-media2.fl.yelpcdn.com/bphoto/cVUrHYT0zcBhxpPUdPbzUw/o.jpg,FALSE,https://www.yelp.com/biz/hen-quarter-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,966,"southern, bars, Southern, Bars",4,"pickup, delivery",$$,+17036848969,(703) 684-8969,4589.25424481096,38.8054389953613,-77.048225402832,"801 King St, Alexandria, VA 22314"
BV2E2-sE2EG7IqWWqz-Ckg,northside-10-alexandria,Northside 10,https://s3-media1.fl.yelpcdn.com/bphoto/ft8pmb9bdIAowuQtt_aOeQ/o.jpg,FALSE,https://www.yelp.com/biz/northside-10-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,191,"tradamerican, American (Traditional)",4.5,,$$,+17038880032,(703) 888-0032,5674.4659967099515,38.8355,-77.0572,"10 E Glebe Rd Alexandria, Alexandria, VA 22305"
bNecSOFniQPy5VnLcUO0xg,aldos-italian-kitchen-alexandria,Aldo's Italian Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/lYOo908TT4DdxsS-id7-Iw/o.jpg,FALSE,https://www.yelp.com/biz/aldos-italian-kitchen-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,119,"italian, sandwiches, newamerican, Italian, Sandwiches, American (New)",4.5,,$,+17038882243,(703) 888-2243,1672.7186218815316,38.80219,-77.08172,"2850 Eisenhower Ave, Alexandria, VA 22314"
NBg86yfipIHN3PBJUVcoaA,the-red-hen-washington-4,The Red Hen,https://s3-media2.fl.yelpcdn.com/bphoto/39-t6tzTB2RHvLSUsUUqeQ/o.jpg,FALSE,https://www.yelp.com/biz/the-red-hen-washington-4?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,723,"italian, cocktailbars, tradamerican, Italian, Cocktail Bars, American (Traditional)",4.5,,$$$,+12025253021,(202) 525-3021,15165.613277452147,38.91502,-77.01239,"1822 1st St NW, Washington, DC 20001"
u5RnUbLvIScK17cDbzV3ag,grateful-kitchen-co-alexandria,Grateful Kitchen Co.,https://s3-media3.fl.yelpcdn.com/bphoto/kdq0h_v7Czbia4XCiUjN3A/o.jpg,FALSE,https://www.yelp.com/biz/grateful-kitchen-co-alexandria?adjust_creative=lVsMAinOR6vrk-ZNdWumhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lVsMAinOR6vrk-ZNdWumhw,28,"juicebars, organic_stores, breakfast_brunch, Juice Bars & Smoothies, Organic Stores, Breakfast & Brunch",5,,NA,+15718679121,(571) 867-9121,4753.724895917598,38.81338,-77.04952,"727 N Henry St, Alexandria, VA 22314"
